"material","provider","thickness","length","width","display","sheet_cost"
"Brass 260","online-metals",0.102,24,24,"Brass 260-L-24.000-W-24.000-T-0.102",215.44
"Brass 260","online-metals",0.102,48,12,"Brass 260-L-48.000-W-12.000-T-0.102",215.44
"Brass 260","online-metals",0.102,36,12,"Brass 260-L-36.000-W-12.000-T-0.102",172.32
"Brass 260","online-metals",0.102,24,12,"Brass 260-L-24.000-W-12.000-T-0.102",134.02
"Brass 260","online-metals",0.102,12,12,"Brass 260-L-12.000-W-12.000-T-0.102",77.12
"Brass 260","online-metals",0.09,48,36,"Brass 260-L-48.000-W-36.000-T-0.090",452.85
"Brass 260","online-metals",0.09,36,36,"Brass 260-L-36.000-W-36.000-T-0.090",356.2
"Brass 260","online-metals",0.09,48,24,"Brass 260-L-48.000-W-24.000-T-0.090",316.63
"Brass 260","online-metals",0.09,36,24,"Brass 260-L-36.000-W-24.000-T-0.090",243
"Brass 260","online-metals",0.09,24,24,"Brass 260-L-24.000-W-24.000-T-0.090",190.07
"Brass 260","online-metals",0.09,48,12,"Brass 260-L-48.000-W-12.000-T-0.090",190.07
"Brass 260","online-metals",0.09,12,12,"Brass 260-L-12.000-W-12.000-T-0.090",68.05
"Brass 260","online-metals",0.09,24,12,"Brass 260-L-24.000-W-12.000-T-0.090",118.25
"Brass 260","online-metals",0.09,36,12,"Brass 260-L-36.000-W-12.000-T-0.090",152.03
"Brass 260","online-metals",0.08,48,36,"Brass 260-L-48.000-W-36.000-T-0.080",402.55
"Brass 260","online-metals",0.08,36,36,"Brass 260-L-36.000-W-36.000-T-0.080",316.64
"Brass 260","online-metals",0.08,48,24,"Brass 260-L-48.000-W-24.000-T-0.080",281.45
"Brass 260","online-metals",0.08,36,24,"Brass 260-L-36.000-W-24.000-T-0.080",216
"Brass 260","online-metals",0.08,24,24,"Brass 260-L-24.000-W-24.000-T-0.080",168.94
"Brass 260","online-metals",0.08,48,12,"Brass 260-L-48.000-W-12.000-T-0.080",168.94
