"material","provider","thickness","length","width","display","sheet_cost"
"Aluminum 7075-T6","online-metals",1,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-1.000",406.6
"Aluminum 7075-T6","online-metals",1,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-1.000",178.83
"Aluminum 7075-T6","online-metals",1,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-1.000",316.25
"Aluminum 7075-T6","online-metals",1,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-1.000",508.25
"Aluminum 7075-T6","online-metals",0.75,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.750",1041.68
"Aluminum 7075-T6","online-metals",0.75,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.750",819.38
"Aluminum 7075-T6","online-metals",0.75,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.750",728.33
"Aluminum 7075-T6","online-metals",0.75,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.750",558.96
"Aluminum 7075-T6","online-metals",0.75,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.750",381.11
"Aluminum 7075-T6","online-metals",0.75,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.750",381.11
"Aluminum 7075-T6","online-metals",0.75,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.750",304.89
"Aluminum 7075-T6","online-metals",0.75,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.750",237.13
"Aluminum 7075-T6","online-metals",0.75,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.750",134.11
"Aluminum 7075-T6","online-metals",0.625,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.625",939.18
"Aluminum 7075-T6","online-metals",0.625,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.625",738.75
"Aluminum 7075-T6","online-metals",0.625,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.625",656.66
"Aluminum 7075-T6","online-metals",0.625,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.625",503.95
"Aluminum 7075-T6","online-metals",0.625,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.625",343.6
"Aluminum 7075-T6","online-metals",0.625,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.625",213.8
"Aluminum 7075-T6","online-metals",0.625,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.625",116.25
"Aluminum 7075-T6","online-metals",0.625,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.625",343.6
"Aluminum 7075-T6","online-metals",0.625,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.625",274.88
"Aluminum 7075-T6","online-metals",0.5,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.500",802.29
"Aluminum 7075-T6","online-metals",0.5,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.500",631.07
"Aluminum 7075-T6","online-metals",0.5,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.500",560.95
"Aluminum 7075-T6","online-metals",0.5,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.500",430.5
"Aluminum 7075-T6","online-metals",0.5,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.500",293.52
"Aluminum 7075-T6","online-metals",0.5,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.500",293.52
"Aluminum 7075-T6","online-metals",0.5,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.500",234.82
"Aluminum 7075-T6","online-metals",0.5,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.500",199.44
"Aluminum 7075-T6","online-metals",0.5,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.500",114.75
"Aluminum 7075-T6","online-metals",0.375,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.375",601.05
"Aluminum 7075-T6","online-metals",0.375,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.375",472.79
"Aluminum 7075-T6","online-metals",0.375,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.375",420.26
"Aluminum 7075-T6","online-metals",0.375,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.375",322.53
"Aluminum 7075-T6","online-metals",0.375,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.375",219.9
"Aluminum 7075-T6","online-metals",0.375,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.375",219.9
"Aluminum 7075-T6","online-metals",0.375,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.375",207.89
"Aluminum 7075-T6","online-metals",0.375,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.375",161.66
"Aluminum 7075-T6","online-metals",0.375,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.375",93.04
"Aluminum 7075-T6","online-metals",0.25,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.250",394.86
"Aluminum 7075-T6","online-metals",0.25,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.250",310.6
"Aluminum 7075-T6","online-metals",0.25,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.250",276.07
"Aluminum 7075-T6","online-metals",0.25,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.250",211.86
"Aluminum 7075-T6","online-metals",0.25,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.250",170.74
"Aluminum 7075-T6","online-metals",0.25,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.250",170.74
"Aluminum 7075-T6","online-metals",0.25,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.250",136.54
"Aluminum 7075-T6","online-metals",0.25,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.250",118.02
"Aluminum 7075-T6","online-metals",0.25,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.250",61.16
"Aluminum 7075-T6","online-metals",0.19,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.190",338.64
"Aluminum 7075-T6","online-metals",0.19,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.190",266.36
"Aluminum 7075-T6","online-metals",0.19,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.190",236.76
"Aluminum 7075-T6","online-metals",0.19,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.190",190.79
"Aluminum 7075-T6","online-metals",0.19,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.190",130.08
"Aluminum 7075-T6","online-metals",0.19,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.190",130.08
"Aluminum 7075-T6","online-metals",0.19,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.190",104.07
"Aluminum 7075-T6","online-metals",0.19,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.190",80.95
"Aluminum 7075-T6","online-metals",0.19,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.190",41.92
"Aluminum 7075-T6","online-metals",0.16,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.160",325
"Aluminum 7075-T6","online-metals",0.16,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.160",255.63
"Aluminum 7075-T6","online-metals",0.16,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.160",227.23
"Aluminum 7075-T6","online-metals",0.16,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.160",183.1
"Aluminum 7075-T6","online-metals",0.16,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.160",124.85
"Aluminum 7075-T6","online-metals",0.16,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.160",124.85
"Aluminum 7075-T6","online-metals",0.16,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.160",99.88
"Aluminum 7075-T6","online-metals",0.16,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.160",77.68
"Aluminum 7075-T6","online-metals",0.16,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.160",40.23
"Aluminum 7075-T6","online-metals",0.125,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.125",233.08
"Aluminum 7075-T6","online-metals",0.125,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.125",216.67
"Aluminum 7075-T6","online-metals",0.125,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.125",192.57
"Aluminum 7075-T6","online-metals",0.125,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.125",147.79
"Aluminum 7075-T6","online-metals",0.125,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.125",111.96
"Aluminum 7075-T6","online-metals",0.125,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.125",111.96
"Aluminum 7075-T6","online-metals",0.125,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.125",89.59
"Aluminum 7075-T6","online-metals",0.125,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.125",69.66
"Aluminum 7075-T6","online-metals",0.125,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.125",36.07
"Aluminum 7075-T6","online-metals",0.1,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.100",213.94
"Aluminum 7075-T6","online-metals",0.1,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.100",182
"Aluminum 7075-T6","online-metals",0.1,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.100",161.75
"Aluminum 7075-T6","online-metals",0.1,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.100",124.14
"Aluminum 7075-T6","online-metals",0.1,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.100",94.04
"Aluminum 7075-T6","online-metals",0.1,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.100",94.04
"Aluminum 7075-T6","online-metals",0.1,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.100",75.26
"Aluminum 7075-T6","online-metals",0.1,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.100",58.53
"Aluminum 7075-T6","online-metals",0.1,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.100",30.31
"Aluminum 7075-T6","online-metals",0.09,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.090",215.01
"Aluminum 7075-T6","online-metals",0.09,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.090",182.92
"Aluminum 7075-T6","online-metals",0.09,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.090",162.57
"Aluminum 7075-T6","online-metals",0.09,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.090",124.77
"Aluminum 7075-T6","online-metals",0.09,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.090",94.53
"Aluminum 7075-T6","online-metals",0.09,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.090",94.53
"Aluminum 7075-T6","online-metals",0.09,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.090",75.62
"Aluminum 7075-T6","online-metals",0.09,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.090",58.82
"Aluminum 7075-T6","online-metals",0.09,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.090",30.44
"Aluminum 7075-T6","online-metals",0.08,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.080",186.45
"Aluminum 7075-T6","online-metals",0.08,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.080",146.69
"Aluminum 7075-T6","online-metals",0.08,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.080",130.38
"Aluminum 7075-T6","online-metals",0.08,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.080",111.2
"Aluminum 7075-T6","online-metals",0.08,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.080",75.81
"Aluminum 7075-T6","online-metals",0.08,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.080",75.81
"Aluminum 7075-T6","online-metals",0.08,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.080",60.67
"Aluminum 7075-T6","online-metals",0.08,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.080",47.17
"Aluminum 7075-T6","online-metals",0.08,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.080",24.41
"Aluminum 7075-T6","online-metals",0.071,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.071",192.74
"Aluminum 7075-T6","online-metals",0.071,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.071",151.59
"Aluminum 7075-T6","online-metals",0.071,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.071",134.74
"Aluminum 7075-T6","online-metals",0.071,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.071",114.89
"Aluminum 7075-T6","online-metals",0.071,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.071",78.33
"Aluminum 7075-T6","online-metals",0.071,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.071",78.33
"Aluminum 7075-T6","online-metals",0.071,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.071",62.68
"Aluminum 7075-T6","online-metals",0.071,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.071",48.74
"Aluminum 7075-T6","online-metals",0.071,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.071",25.25
"Aluminum 7075-T6","online-metals",0.063,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.063",155.08
"Aluminum 7075-T6","online-metals",0.063,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.063",121.99
"Aluminum 7075-T6","online-metals",0.063,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.063",120.47
"Aluminum 7075-T6","online-metals",0.063,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.063",92.48
"Aluminum 7075-T6","online-metals",0.063,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.063",63.04
"Aluminum 7075-T6","online-metals",0.063,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.063",63.04
"Aluminum 7075-T6","online-metals",0.063,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.063",50.43
"Aluminum 7075-T6","online-metals",0.063,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.063",39.24
"Aluminum 7075-T6","online-metals",0.063,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.063",20.31
"Aluminum 7075-T6","online-metals",0.05,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.050",116.67
"Aluminum 7075-T6","online-metals",0.05,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.050",91.78
"Aluminum 6061-T6","online-metals",0.05,48,24,"Aluminum 6061-T6-L-48.000-W-24.000-T-0.050",46.05
"Aluminum 6061-T6","online-metals",0.05,36,24,"Aluminum 6061-T6-L-36.000-W-24.000-T-0.050",35.36
"Aluminum 6061-T6","online-metals",0.05,24,24,"Aluminum 6061-T6-L-24.000-W-24.000-T-0.050",24.08
"Aluminum 6061-T6","online-metals",0.05,24,12,"Aluminum 6061-T6-L-24.000-W-12.000-T-0.050",14.98
"Aluminum 6061-T6","online-metals",0.05,36,12,"Aluminum 6061-T6-L-36.000-W-12.000-T-0.050",19.26
"Aluminum 6061-T6","online-metals",0.05,12,12,"Aluminum 6061-T6-L-12.000-W-12.000-T-0.050",7.76
"Aluminum 6061-T6","online-metals",0.05,48,12,"Aluminum 6061-T6-L-48.000-W-12.000-T-0.050",24.08
"Aluminum 6061-T6","online-metals",0.04,36,36,"Aluminum 6061-T6-L-36.000-W-36.000-T-0.040",37.09
"Aluminum 6061-T6","online-metals",0.04,48,36,"Aluminum 6061-T6-L-48.000-W-36.000-T-0.040",47.15
"Aluminum 6061-T6","online-metals",0.04,48,24,"Aluminum 6061-T6-L-48.000-W-24.000-T-0.040",32.96
"Aluminum 6061-T6","online-metals",0.04,36,24,"Aluminum 6061-T6-L-36.000-W-24.000-T-0.040",25.3
"Aluminum 6061-T6","online-metals",0.04,24,24,"Aluminum 6061-T6-L-24.000-W-24.000-T-0.040",17.25
"Aluminum 6061-T6","online-metals",0.04,12,12,"Aluminum 6061-T6-L-12.000-W-12.000-T-0.040",5.56
"Aluminum 6061-T6","online-metals",0.04,24,12,"Aluminum 6061-T6-L-24.000-W-12.000-T-0.040",10.74
"Aluminum 6061-T6","online-metals",0.04,48,12,"Aluminum 6061-T6-L-48.000-W-12.000-T-0.040",17.25
"Aluminum 6061-T6","online-metals",0.04,36,12,"Aluminum 6061-T6-L-36.000-W-12.000-T-0.040",13.8
"Aluminum 6061-T6","online-metals",0.032,48,36,"Aluminum 6061-T6-L-48.000-W-36.000-T-0.032",44.78
"Aluminum 6061-T6","online-metals",0.032,36,36,"Aluminum 6061-T6-L-36.000-W-36.000-T-0.032",35.22
"Aluminum 6061-T6","online-metals",0.032,24,24,"Aluminum 6061-T6-L-24.000-W-24.000-T-0.032",16.38
"Aluminum 6061-T6","online-metals",0.032,48,24,"Aluminum 6061-T6-L-48.000-W-24.000-T-0.032",31.31
"Aluminum 6061-T6","online-metals",0.032,36,24,"Aluminum 6061-T6-L-36.000-W-24.000-T-0.032",24.03
"Aluminum 6061-T6","online-metals",0.032,36,12,"Aluminum 6061-T6-L-36.000-W-12.000-T-0.032",13.11
"Aluminum 6061-T6","online-metals",0.032,12,12,"Aluminum 6061-T6-L-12.000-W-12.000-T-0.032",5.28
"Aluminum 6061-T6","online-metals",0.032,48,12,"Aluminum 6061-T6-L-48.000-W-12.000-T-0.032",16.38
"Aluminum 6061-T6","online-metals",0.032,24,12,"Aluminum 6061-T6-L-24.000-W-12.000-T-0.032",10.2
"Aluminum 6061-T6","online-metals",0.025,36,36,"Aluminum 6061-T6-L-36.000-W-36.000-T-0.025",46.08
"Aluminum 6061-T6","online-metals",0.025,48,36,"Aluminum 6061-T6-L-48.000-W-36.000-T-0.025",58.59
"Aluminum 6061-T6","online-metals",0.025,48,24,"Aluminum 6061-T6-L-48.000-W-24.000-T-0.025",40.96
"Aluminum 6061-T6","online-metals",0.025,36,24,"Aluminum 6061-T6-L-36.000-W-24.000-T-0.025",31.43
"Aluminum 6061-T6","online-metals",0.025,24,24,"Aluminum 6061-T6-L-24.000-W-24.000-T-0.025",21.43
"Aluminum 6061-T6","online-metals",0.025,12,12,"Aluminum 6061-T6-L-12.000-W-12.000-T-0.025",6.9
"Aluminum 6061-T6","online-metals",0.025,36,12,"Aluminum 6061-T6-L-36.000-W-12.000-T-0.025",17.14
"Aluminum 6061-T6","online-metals",0.025,24,12,"Aluminum 6061-T6-L-24.000-W-12.000-T-0.025",13.34
"Aluminum 6061-T6","online-metals",0.025,48,12,"Aluminum 6061-T6-L-48.000-W-12.000-T-0.025",21.43
"Aluminum 6061-T6","online-metals",0.02,48,36,"Aluminum 6061-T6-L-48.000-W-36.000-T-0.020",55.08
"Aluminum 6061-T6","online-metals",0.02,36,36,"Aluminum 6061-T6-L-36.000-W-36.000-T-0.020",43.32
"Aluminum 6061-T6","online-metals",0.02,48,24,"Aluminum 6061-T6-L-48.000-W-24.000-T-0.020",38.52
"Aluminum 6061-T6","online-metals",0.02,36,24,"Aluminum 6061-T6-L-36.000-W-24.000-T-0.020",29.54
"Aluminum 6061-T6","online-metals",0.02,24,24,"Aluminum 6061-T6-L-24.000-W-24.000-T-0.020",20.15
"Aluminum 6061-T6","online-metals",0.02,48,12,"Aluminum 6061-T6-L-48.000-W-12.000-T-0.020",20.15
"Aluminum 6061-T6","online-metals",0.02,36,12,"Aluminum 6061-T6-L-36.000-W-12.000-T-0.020",16.1
"Aluminum 6061-T6","online-metals",0.02,24,12,"Aluminum 6061-T6-L-24.000-W-12.000-T-0.020",12.54
"Aluminum 6061-T6","online-metals",0.02,12,12,"Aluminum 6061-T6-L-12.000-W-12.000-T-0.020",6.49
"Aluminum 6061-T6","online-metals",0.016,48,36,"Aluminum 6061-T6-L-48.000-W-36.000-T-0.016",47.1
"Aluminum 6061-T6","online-metals",0.016,36,36,"Aluminum 6061-T6-L-36.000-W-36.000-T-0.016",37.04
"Aluminum 6061-T6","online-metals",0.016,48,24,"Aluminum 6061-T6-L-48.000-W-24.000-T-0.016",32.93
"Aluminum 6061-T6","online-metals",0.016,36,24,"Aluminum 6061-T6-L-36.000-W-24.000-T-0.016",25.27
"Aluminum 6061-T6","online-metals",0.016,24,24,"Aluminum 6061-T6-L-24.000-W-24.000-T-0.016",17.23
"Aluminum 6061-T6","online-metals",0.016,48,12,"Aluminum 6061-T6-L-48.000-W-12.000-T-0.016",17.23
"Aluminum 6061-T6","online-metals",0.016,36,12,"Aluminum 6061-T6-L-36.000-W-12.000-T-0.016",13.78
"Aluminum 6061-T6","online-metals",0.016,24,12,"Aluminum 6061-T6-L-24.000-W-12.000-T-0.016",10.72
"Aluminum 6061-T6","online-metals",0.016,12,12,"Aluminum 6061-T6-L-12.000-W-12.000-T-0.016",5.56
"Aluminum 6061-T6","online-metals",0.375,144,12,"Aluminum 6061-T6-L-144.000-W-12.000-T-0.375",191.71
"Aluminum 6061-T6","online-metals",0.375,96,12,"Aluminum 6061-T6-L-96.000-W-12.000-T-0.375",150.36
"Aluminum 6061-T6","online-metals",0.375,84,12,"Aluminum 6061-T6-L-84.000-W-12.000-T-0.375",135.31
"Aluminum 6061-T6","online-metals",0.375,72,12,"Aluminum 6061-T6-L-72.000-W-12.000-T-0.375",119.19
"Aluminum 6061-T6","online-metals",0.375,60,12,"Aluminum 6061-T6-L-60.000-W-12.000-T-0.375",113.36
"Aluminum 6061-T6","online-metals",0.375,48,12,"Aluminum 6061-T6-L-48.000-W-12.000-T-0.375",95.48
"Aluminum 6061-T6","online-metals",0.375,36,12,"Aluminum 6061-T6-L-36.000-W-12.000-T-0.375",80.53
"Aluminum 6061-T6","online-metals",0.375,24,12,"Aluminum 6061-T6-L-24.000-W-12.000-T-0.375",57.29
"Aluminum 6061-T6","online-metals",0.375,12,12,"Aluminum 6061-T6-L-12.000-W-12.000-T-0.375",29.82
"Aluminum 6061-T6","online-metals",0.25,144,12,"Aluminum 6061-T6-L-144.000-W-12.000-T-0.250",145.87
"Aluminum 6061-T6","online-metals",0.25,96,12,"Aluminum 6061-T6-L-96.000-W-12.000-T-0.250",114.41
"Aluminum 6061-T6","online-metals",0.25,84,12,"Aluminum 6061-T6-L-84.000-W-12.000-T-0.250",102.97
"Aluminum 6061-T6","online-metals",0.25,72,12,"Aluminum 6061-T6-L-72.000-W-12.000-T-0.250",90.7
"Aluminum 6061-T6","online-metals",0.25,60,12,"Aluminum 6061-T6-L-60.000-W-12.000-T-0.250",77.64
"Aluminum 6061-T6","online-metals",0.25,48,12,"Aluminum 6061-T6-L-48.000-W-12.000-T-0.250",65.37
"Aluminum 6061-T6","online-metals",0.25,36,12,"Aluminum 6061-T6-L-36.000-W-12.000-T-0.250",55.16
"Aluminum 6061-T6","online-metals",0.25,24,12,"Aluminum 6061-T6-L-24.000-W-12.000-T-0.250",39.23
"Aluminum 6061-T6","online-metals",0.25,12,12,"Aluminum 6061-T6-L-12.000-W-12.000-T-0.250",20.43
"Stainless Steel 304-#4","online-metals",0.075,120,48,"Stainless Steel 304-#4-L-120.000-W-48.000-T-0.075",535.1
"Stainless Steel 304-2B","online-metals",0.075,120,48,"Stainless Steel 304-2B-L-120.000-W-48.000-T-0.075",535.1
"Stainless Steel 304","online-metals",0.075,120,48,"Stainless Steel 304-L-120.000-W-48.000-T-0.075",535.1
"Stainless Steel 304-#4","online-metals",0.075,48,36,"Stainless Steel 304-#4-L-48.000-W-36.000-T-0.075",188.86
"Stainless Steel 304-2B","online-metals",0.075,48,36,"Stainless Steel 304-2B-L-48.000-W-36.000-T-0.075",188.86
"Stainless Steel 304","online-metals",0.075,48,36,"Stainless Steel 304-L-48.000-W-36.000-T-0.075",188.86
"Stainless Steel 304-#4","online-metals",0.075,36,24,"Stainless Steel 304-#4-L-36.000-W-24.000-T-0.075",101.34
"Stainless Steel 304-2B","online-metals",0.075,36,24,"Stainless Steel 304-2B-L-36.000-W-24.000-T-0.075",101.34
"Stainless Steel 304","online-metals",0.075,36,24,"Stainless Steel 304-L-36.000-W-24.000-T-0.075",101.34
"Stainless Steel 304-#4","online-metals",0.075,24,24,"Stainless Steel 304-#4-L-24.000-W-24.000-T-0.075",98.77
"Stainless Steel 304-2B","online-metals",0.075,24,24,"Stainless Steel 304-2B-L-24.000-W-24.000-T-0.075",98.77
"Stainless Steel 304","online-metals",0.075,24,24,"Stainless Steel 304-L-24.000-W-24.000-T-0.075",98.77
"Stainless Steel 304-#4","online-metals",0.075,24,12,"Stainless Steel 304-#4-L-24.000-W-12.000-T-0.075",47.76
"Stainless Steel 304-2B","online-metals",0.075,24,12,"Stainless Steel 304-2B-L-24.000-W-12.000-T-0.075",47.76
"Stainless Steel 304","online-metals",0.075,24,12,"Stainless Steel 304-L-24.000-W-12.000-T-0.075",47.76
"Stainless Steel 304-#4","online-metals",0.075,12,12,"Stainless Steel 304-#4-L-12.000-W-12.000-T-0.075",24.74
"Stainless Steel 304-2B","online-metals",0.075,12,12,"Stainless Steel 304-2B-L-12.000-W-12.000-T-0.075",24.74
"Stainless Steel 304","online-metals",0.075,12,12,"Stainless Steel 304-L-12.000-W-12.000-T-0.075",24.74
"Stainless Steel 304-#4","online-metals",0.06,120,48,"Stainless Steel 304-#4-L-120.000-W-48.000-T-0.060",843.17
"Stainless Steel 304-2B","online-metals",0.06,120,48,"Stainless Steel 304-2B-L-120.000-W-48.000-T-0.060",843.17
"Stainless Steel 304","online-metals",0.06,120,48,"Stainless Steel 304-L-120.000-W-48.000-T-0.060",843.17
"Stainless Steel 304-#4","online-metals",0.06,48,36,"Stainless Steel 304-#4-L-48.000-W-36.000-T-0.060",297.59
"Stainless Steel 304-2B","online-metals",0.06,48,36,"Stainless Steel 304-2B-L-48.000-W-36.000-T-0.060",297.59
"Stainless Steel 304","online-metals",0.06,48,36,"Stainless Steel 304-L-48.000-W-36.000-T-0.060",297.59
"Stainless Steel 304-#4","online-metals",0.06,36,24,"Stainless Steel 304-#4-L-36.000-W-24.000-T-0.060",210.91
"Stainless Steel 304-2B","online-metals",0.06,36,24,"Stainless Steel 304-2B-L-36.000-W-24.000-T-0.060",210.91
"Stainless Steel 304","online-metals",0.06,36,24,"Stainless Steel 304-L-36.000-W-24.000-T-0.060",210.91
"Stainless Steel 304-#4","online-metals",0.06,24,24,"Stainless Steel 304-#4-L-24.000-W-24.000-T-0.060",198.9
"Stainless Steel 304-2B","online-metals",0.06,24,24,"Stainless Steel 304-2B-L-24.000-W-24.000-T-0.060",198.9
"Stainless Steel 304","online-metals",0.06,24,24,"Stainless Steel 304-L-24.000-W-24.000-T-0.060",198.9
"Stainless Steel 304-#4","online-metals",0.06,24,12,"Stainless Steel 304-#4-L-24.000-W-12.000-T-0.060",118.87
"Stainless Steel 304-2B","online-metals",0.06,24,12,"Stainless Steel 304-2B-L-24.000-W-12.000-T-0.060",118.87
"Stainless Steel 304","online-metals",0.06,24,12,"Stainless Steel 304-L-24.000-W-12.000-T-0.060",118.87
"Stainless Steel 304-#4","online-metals",0.06,12,12,"Stainless Steel 304-#4-L-12.000-W-12.000-T-0.060",80.33
"Stainless Steel 304-2B","online-metals",0.06,12,12,"Stainless Steel 304-2B-L-12.000-W-12.000-T-0.060",80.33
"Stainless Steel 304","online-metals",0.06,12,12,"Stainless Steel 304-L-12.000-W-12.000-T-0.060",80.33
